Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
BTCBitcoin,BTC,"$522.03B$522,031,493,087","$26,756.77","19,511,481 BTC","$12,275,994,806",0.05%,-1.93%,-3.56%
ETHEthereum,ETH,"$185.96B$185,960,678,609","$1,546.61","120,253,572 ETH *","$5,021,419,388",0.31%,-1.90%,-5.78%
USDTTether USDt,USDT,"$83.52B$83,515,202,192",$0.9999,"83,519,009,631 USDT *","$18,551,490,554",-0.03%,-0.02%,-0.01%
BNBBNB,BNB,"$31.42B$31,417,192,340",$204.19,"153,845,209 BNB *","$281,460,357",0.25%,-1.82%,-4.04%
XRPXRP,XRP,"$25.59B$25,594,476,777",$0.4789,"53,441,027,384 XRP *","$792,826,309",0.27%,-1.97%,-8.62%
USDCUSDC,USDC,"$25.21B$25,205,044,019",$1.00,"25,200,134,691 USDC *","$2,768,465,314",-0.02%,<0.01%,<0.01%
SOLSolana,SOL,"$8.87B$8,874,577,525",$21.33,"415,996,330 SOL *","$262,687,830",-0.05%,-4.16%,-8.32%
ADACardano,ADA,"$8.61B$8,611,949,454",$0.2449,"35,158,460,975 ADA *","$101,050,548",0.06%,-1.28%,-5.82%
DOGEDogecoin,DOGE,"$8.18B$8,180,738,830",$0.05786,"141,379,726,384 DOGE","$135,596,876",-0.03%,-1.98%,-5.35%
TRXTRON,TRX,"$7.6B$7,596,228,143",$0.08538,"88,967,267,371 TRX *","$141,202,379",-0.06%,-1.24%,-4.04%
TONToncoin,TON,"$6.85B$6,847,135,465",$2.00,"3,431,892,088 TON *","$12,645,557",-0.32%,-0.53%,-3.41%
DAIDai,DAI,"$5.35B$5,347,173,305",$0.9999,"5,347,888,596 DAI *","$134,425,379",0.15%,<0.01%,-0.03%
MATICPolygon,MATIC,"$4.74B$4,736,925,504",$0.5094,"9,299,803,031 MATIC *","$214,768,659",0.25%,-2.06%,-9.47%
DOTPolkadot,DOT,"$4.52B$4,522,019,109",$3.67,"1,233,061,371 DOT *","$79,432,485",0.32%,-2.82%,-9.71%
LTCLitecoin,LTC,"$4.49B$4,489,736,616",$60.88,"73,752,658 LTC","$177,926,782",-0.08%,-2.68%,-6.07%
